Phase,Dataset,Algorithm,Vectorization,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Average
Stage 1,PROMISE,BiCNN,TF-IDF,0.5567010309278351,0.5979381443298969,0.6030927835051546,0.6082474226804123,0.6217616580310881,0.5975482078948774
Stage 2,PROMISE,BiCNN,TF-IDF,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,BiCNN,TF-IDF,0.22164948453608246,0.29896907216494845,0.3247422680412371,0.25257731958762886,0.29533678756476683,0.2786549863789327
Stage 1,PROMISE,BiLSTM,TF-IDF,0.9020618556701031,0.8969072164948454,0.865979381443299,0.9329896907216495,0.8808290155440415,0.8957534319747879
Stage 2,PROMISE,BiLSTM,TF-IDF,0.7142857142857143,0.7169811320754716,0.7047619047619048,0.638095238095238,0.7307692307692307,0.700978643997512
Overall,PROMISE,BiLSTM,TF-IDF,0.7525773195876289,0.7680412371134021,0.7371134020618557,0.7525773195876289,0.7409326424870466,0.7502483841675124
Stage 1,PROMISE,CNN,TF-IDF,0.5412371134020618,0.6030927835051546,0.5257731958762887,0.6288659793814433,0.6062176165803109,0.5810373377490519
Stage 2,PROMISE,CNN,TF-IDF,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,CNN,TF-IDF,0.19072164948453607,0.26804123711340205,0.23195876288659795,0.28350515463917525,0.22797927461139897,0.24044121574702207
Stage 1,PROMISE,DNN,TF-IDF,0.8814432989690721,0.8762886597938144,0.8556701030927835,0.9278350515463918,0.8601036269430051,0.8802681480690133
Stage 2,PROMISE,DNN,TF-IDF,0.6761904761904762,0.6698113207547169,0.6285714285714286,0.6,0.6538461538461539,0.6456838758725552
Overall,PROMISE,DNN,TF-IDF,0.7164948453608248,0.7422680412371134,0.7010309278350515,0.7268041237113402,0.694300518134715,0.716179691255809
Stage 1,PROMISE,GRU,TF-IDF,0.9020618556701031,0.9072164948453608,0.8711340206185567,0.9278350515463918,0.8756476683937824,0.8967790182148392
Stage 2,PROMISE,GRU,TF-IDF,0.7238095238095238,0.7735849056603774,0.6857142857142857,0.6285714285714286,0.7403846153846154,0.7104129518280462
Overall,PROMISE,GRU,TF-IDF,0.7577319587628866,0.7938144329896907,0.7371134020618557,0.7422680412371134,0.7512953367875648,0.7564446343678222
Stage 1,PROMISE,LSTM,TF-IDF,0.8814432989690721,0.8969072164948454,0.8608247422680413,0.9278350515463918,0.8704663212435233,0.8874953261043746
Stage 2,PROMISE,LSTM,TF-IDF,0.7047619047619048,0.7264150943396226,0.6666666666666666,0.638095238095238,0.7019230769230769,0.6875723961573017
Overall,PROMISE,LSTM,TF-IDF,0.7319587628865979,0.7731958762886598,0.7164948453608248,0.7525773195876289,0.7305699481865285,0.740959350462048
Stage 1,PROMISE,BiCNN,SBERT,0.5412371134020618,0.5463917525773195,0.5412371134020618,0.5412371134020618,0.538860103626943,0.5417926392820896
Stage 2,PROMISE,BiCNN,SBERT,0.23809523809523808,0.2358490566037736,0.23809523809523808,0.23809523809523808,0.2403846153846154,0.23810387725482066
Overall,PROMISE,BiCNN,SBERT,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12886597938144329,0.12953367875647667,0.12899951925644998
Stage 1,PROMISE,BiLSTM,SBERT,0.8350515463917526,0.8350515463917526,0.8505154639175257,0.9123711340206185,0.8290155440414507,0.85240104695262
Stage 2,PROMISE,BiLSTM,SBERT,0.6761904761904762,0.6226415094339622,0.7333333333333333,0.7142857142857143,0.75,0.6992902066486972
Overall,PROMISE,BiLSTM,SBERT,0.6804123711340206,0.6855670103092784,0.7422680412371134,0.7680412371134021,0.7098445595854922,0.7172266438758613
Stage 1,PROMISE,CNN,SBERT,0.5412371134020618,0.5463917525773195,0.5412371134020618,0.5412371134020618,0.538860103626943,0.5417926392820896
