Phase,Dataset,Algorithm,Vectorization,Average
Stage 1,PROMISE,LinearSVC,TF-IDF,0.8916136958495807
Stage 2,PROMISE,LinearSVC,TF-IDF,0.706729905314811
Overall,PROMISE,LinearSVC,TF-IDF,0.7481865284974093
Stage 1,PROMISE,RF,TF-IDF,0.8493242882324662
Stage 2,PROMISE,RF,TF-IDF,0.5999122261386413
Overall,PROMISE,RF,TF-IDF,0.6625180278831259
Stage 1,PROMISE,LR,TF-IDF,0.8936915763046847
Stage 2,PROMISE,LR,TF-IDF,0.6896226415094339
Overall,PROMISE,LR,TF-IDF,0.7471662838523583
Stage 1,PROMISE,NB,TF-IDF,0.8441696490572085
Stage 2,PROMISE,NB,TF-IDF,0.6092753472942153
Overall,PROMISE,NB,TF-IDF,0.6810854121040543
Stage 1,PROMISE,XGBoost,TF-IDF,0.8142353506757118
Stage 2,PROMISE,XGBoost,TF-IDF,0.5541782431405073
Overall,PROMISE,XGBoost,TF-IDF,0.6171037871908551
Stage 1,PROMISE,KNN,TF-IDF,0.8647935473532398
Stage 2,PROMISE,KNN,TF-IDF,0.6475523533070702
Overall,PROMISE,KNN,TF-IDF,0.7161903744458095
Stage 1,PROMISE,LinearSVC,SBERT,0.8668554030233429
Stage 2,PROMISE,LinearSVC,SBERT,0.7180489321998755
Overall,PROMISE,LinearSVC,SBERT,0.738881470006944
Stage 1,PROMISE,RF,SBERT,0.8730569948186527
Stage 2,PROMISE,RF,SBERT,0.6589449858317782
Overall,PROMISE,RF,SBERT,0.7120613215106031
Stage 1,PROMISE,LR,SBERT,0.8565354414828267
Stage 2,PROMISE,LR,SBERT,0.7504488907319096
Overall,PROMISE,LR,SBERT,0.7399070562469954
Stage 1,PROMISE,NB,SBERT,0.8493189466374661
Stage 2,PROMISE,NB,SBERT,0.697059230078098
Overall,PROMISE,NB,SBERT,0.7192724747609637
Stage 1,PROMISE,XGBoost,SBERT,0.8606591528230331
Stage 2,PROMISE,XGBoost,SBERT,0.65899854862119
Overall,PROMISE,XGBoost,SBERT,0.7058490465252925
Stage 1,PROMISE,KNN,SBERT,0.8833662731691682
Stage 2,PROMISE,KNN,SBERT,0.6912723754233188
Overall,PROMISE,KNN,SBERT,0.7553976817477699
Stage 1,PROMISE,LinearSVC,BERT,0.8802681480690133
Stage 2,PROMISE,LinearSVC,BERT,0.7067478747667427
Overall,PROMISE,LinearSVC,BERT,0.7409646920570483
Stage 1,PROMISE,RF,BERT,0.8658404999732919
Stage 2,PROMISE,RF,BERT,0.6268712419655816
Overall,PROMISE,RF,BERT,0.6893862507344692
Stage 1,PROMISE,LR,BERT,0.887522034079376
Stage 2,PROMISE,LR,BERT,0.7180855622365057
Overall,PROMISE,LR,BERT,0.7554243897227713
Stage 1,PROMISE,NB,BERT,0.8338176379466908
Stage 2,PROMISE,NB,BERT,0.6359789895638952
Overall,PROMISE,NB,BERT,0.6759094065487954
Stage 1,PROMISE,XGBoost,BERT,0.8782116339939104
Stage 2,PROMISE,XGBoost,BERT,0.6401866058469832
Overall,PROMISE,XGBoost,BERT,0.7182682549009133
Stage 1,PROMISE,KNN,BERT,0.8906201591795309
Stage 2,PROMISE,KNN,BERT,0.6724065242933168
Overall,PROMISE,KNN,BERT,0.7492548474974627
Stage 1,PROMISE,LinearSVC,MPNet,0.8978366540248917
Stage 2,PROMISE,LinearSVC,MPNet,0.7560912986384685
Overall,PROMISE,LinearSVC,MPNet,0.7884247636344213
Stage 1,PROMISE,RF,MPNet,0.8741092890337054
Stage 2,PROMISE,RF,MPNet,0.6933951897159445
Overall,PROMISE,RF,MPNet,0.72859889963143
Stage 1,PROMISE,LR,MPNet,0.8957747983547886
Stage 2,PROMISE,LR,MPNet,0.7750850093302923
Overall,PROMISE,LR,MPNet,0.7915122055445757
Stage 1,PROMISE,NB,MPNet,0.8586240051279311
Stage 2,PROMISE,NB,MPNet,0.7085983827493261
Overall,PROMISE,NB,MPNet,0.7327332941616367
Stage 1,PROMISE,XGBoost,MPNet,0.8968057261898403
Stage 2,PROMISE,XGBoost,MPNet,0.655281291036008
Overall,PROMISE,XGBoost,MPNet,0.7286095828214305
Stage 1,PROMISE,KNN,MPNet,0.8699588697184979
Stage 2,PROMISE,KNN,MPNet,0.6855394291243349
Overall,PROMISE,KNN,MPNet,0.7306180225415309
Stage 1,PROMISE,LinearSVC,GloVe,0.8358848352117944
Stage 2,PROMISE,LinearSVC,GloVe,0.6550988319856244
Overall,PROMISE,LinearSVC,GloVe,0.6903691042145185
Stage 1,PROMISE,RF,GloVe,0.7873938357993697
Stage 2,PROMISE,RF,GloVe,0.5600736056396434
Overall,PROMISE,RF,GloVe,0.5923241279846161
Stage 1,PROMISE,LR,GloVe,0.8317450990865872
Stage 2,PROMISE,LR,GloVe,0.6113798465685257
Overall,PROMISE,LR,GloVe,0.669761230703488
Stage 1,PROMISE,NB,GloVe,0.7812029271940603
Stage 2,PROMISE,NB,GloVe,0.5143959499619877
Overall,PROMISE,NB,GloVe,0.5686181293734309
Stage 1,PROMISE,XGBoost,GloVe,0.7966775279098339
Stage 2,PROMISE,XGBoost,GloVe,0.5733917340521113
Overall,PROMISE,XGBoost,GloVe,0.6129961006356498
Stage 1,PROMISE,KNN,GloVe,0.8307355376315367
Stage 2,PROMISE,KNN,GloVe,0.563647453175755
Overall,PROMISE,KNN,GloVe,0.62120079055606
Stage 1,PROMISE,LinearSVC,Word2Vec,0.8616740558730838
Stage 2,PROMISE,LinearSVC,Word2Vec,0.681784850369756
Overall,PROMISE,LinearSVC,Word2Vec,0.7099567330804979
Stage 1,PROMISE,RF,Word2Vec,0.8431120132471556
Stage 2,PROMISE,RF,Word2Vec,0.558187849885963
Overall,PROMISE,RF,Word2Vec,0.6295176539714759
Stage 1,PROMISE,LR,Word2Vec,0.8627156668981358
Stage 2,PROMISE,LR,Word2Vec,0.6722976708825765
Overall,PROMISE,LR,Word2Vec,0.7089471716254472
Stage 1,PROMISE,NB,Word2Vec,0.7956466000747824
Stage 2,PROMISE,NB,Word2Vec,0.5218159513442532
Overall,PROMISE,NB,Word2Vec,0.5892580524544628
Stage 1,PROMISE,XGBoost,Word2Vec,0.8410822071470541
Stage 2,PROMISE,XGBoost,Word2Vec,0.5656797290759554
Overall,PROMISE,XGBoost,Word2Vec,0.6491213076224561
Stage 1,PROMISE,KNN,Word2Vec,0.850360557662518
Stage 2,PROMISE,KNN,Word2Vec,0.5963024396986661
Overall,PROMISE,KNN,Word2Vec,0.6532557021526628
Stage 1,FNFC,LinearSVC,TF-IDF,0.8970254957507082
