Phase,Dataset,Algorithm,Vectorization,Average
Phase 4-B,PROMISE,CS-SVM (Linear),TF-IDF,0.7554190481277709
Phase 4-B,PROMISE,CS-SVM (RBF),TF-IDF,0.7027669462101382
Phase 4-B,PROMISE,CS-DT,TF-IDF,0.5438438117621922
Phase 4-B,PROMISE,CS-LR,TF-IDF,0.7141445435607072
Phase 4-B,PROMISE,CS-RF,TF-IDF,0.6614764168580739
Phase 4-B,PROMISE,MetaCost,TF-IDF,0.530420383526521
Phase 4-B,PROMISE,AdaCost,TF-IDF,0.4839645318091982
Phase 4-B,PROMISE,CS-KNN,TF-IDF,0.7017360183750867
Phase 4-B,PROMISE,CS-SVM (Linear),SBERT,0.7471342342823567
Phase 4-B,PROMISE,CS-SVM (RBF),SBERT,0.7832701244591634
Phase 4-B,PROMISE,CS-DT,SBERT,0.4716094225735804
Phase 4-B,PROMISE,CS-LR,SBERT,0.7430105229421505
Phase 4-B,PROMISE,CS-RF,SBERT,0.6862560760643128
Phase 4-B,PROMISE,MetaCost,SBERT,0.4375514128518776
Phase 4-B,PROMISE,AdaCost,SBERT,0.4716574969285829
Phase 4-B,PROMISE,CS-KNN,SBERT,0.7337161476416858
Phase 4-B,PROMISE,CS-SVM (Linear),BERT,0.6996955290849848
Phase 4-B,PROMISE,CS-SVM (RBF),BERT,0.7698894289834944
Phase 4-B,PROMISE,CS-DT,BERT,0.44273276000213657
Phase 4-B,PROMISE,CS-LR,BERT,0.735836760856792
Phase 4-B,PROMISE,CS-RF,BERT,0.6645745419582287
Phase 4-B,PROMISE,MetaCost,BERT,0.4540569414027028
Phase 4-B,PROMISE,AdaCost,BERT,0.4778056727738903
Phase 4-B,PROMISE,CS-KNN,BERT,0.7017306767800864
Phase 4-B,PROMISE,CS-SVM (Linear),MPNet,0.7946103306447305
Phase 4-B,PROMISE,CS-SVM (RBF),MPNet,0.8049463169702473
Phase 4-B,PROMISE,CS-DT,MPNet,0.4716414721435821
Phase 4-B,PROMISE,CS-LR,MPNet,0.7791517547139576
Phase 4-B,PROMISE,CS-RF,MPNet,0.7151968377757598
Phase 4-B,PROMISE,MetaCost,MPNet,0.4860477538593024
Phase 4-B,PROMISE,AdaCost,MPNet,0.4778110143688905
Phase 4-B,PROMISE,CS-KNN,MPNet,0.7275145558463757
Phase 4-B,PROMISE,CS-SVM (Linear),GloVe,0.7038032156401901
Phase 4-B,PROMISE,CS-SVM (RBF),GloVe,0.6615405159980771
Phase 4-B,PROMISE,CS-DT,GloVe,0.4199722237059985
Phase 4-B,PROMISE,CS-LR,GloVe,0.6708081833235404
Phase 4-B,PROMISE,CS-RF,GloVe,0.6150632979007532
Phase 4-B,PROMISE,MetaCost,GloVe,0.44477324929223866
Phase 4-B,PROMISE,AdaCost,GloVe,0.44376902943218843
Phase 4-B,PROMISE,CS-KNN,GloVe,0.6170984455958549
Phase 4-B,PROMISE,CS-SVM (Linear),Word2Vec,0.30240905934512047
Phase 4-B,PROMISE,CS-SVM (RBF),Word2Vec,0.333379627156669
Phase 4-B,PROMISE,CS-DT,Word2Vec,0.32613108274130653
Phase 4-B,PROMISE,CS-LR,Word2Vec,0.3003418620800171
Phase 4-B,PROMISE,CS-RF,Word2Vec,0.3601623844880081
Phase 4-B,PROMISE,MetaCost,Word2Vec,0.34779125046738957
Phase 4-B,PROMISE,AdaCost,Word2Vec,0.34880615351744026
Phase 4-B,PROMISE,CS-KNN,Word2Vec,0.2797126221889857
